40002|7204974|180|519|
40002|7204976|180|519|
40002|7204978|180|7440|
40002|7204980|180|519|
40002|7204982|180|468|
40002|7204984|180|870|
40002|7204986|180|519|
40002|7204988|180|519|
40002|7204990|180|519|
40002|7204992|180|468|
40002|7204994|180|7440|
40002|7204996|180|870|
40002|7204998|180|4032|
40002|7205000|180|455|
40002|7205002|180|4896|
40002|7205004|180|743|
40002|7205006|180|729|
40002|7205008|180|4727|
40002|7205010|180|648|
40002|7205012|180|514|
40002|7205014|180|141|
40002|7205016|180|8195|
40002|7205018|180|141|
40002|7205020|180|216|
40002|7205022|180|445|
40002|7205024|180|720|
40002|7205026|180|141|
40002|7205028|180|9610|
40002|7205030|180|176|
40002|7205032|180|870|
40002|7205034|180|519|
40002|7205036|180|445|
40002|7205038|180|967|
40002|7205040|180|912|
40002|7205042|180|456|
40002|7205044|180|4092|
40002|7205046|180|4594|
40002|7205048|180|967|
40002|7205050|180|6583|
40002|7205052|180|7440|
40002|7205054|180|995|
40002|7205056|180|4096|
40002|7205058|180|519|
40002|7205060|180|4769|
40002|7205062|180|141|
40002|7205064|180|742|
40002|7205066|180|141|
40002|7205068|180|519|
40002|7205070|180|933|
40002|7205072|180|933|
40002|7205074|180|7508|
40002|7205076|180|141|
40002|7205078|180|7139|
40002|7205080|180|519|
40002|7205082|180|519|
40002|7205084|180|405|
40002|7205086|180|141|
40002|7205088|180|519|
40002|7205090|180|141|
40002|7205092|180|7139|
40002|7205094|180|519|
40002|7205096|180|519|
40002|7205098|180|141|
40002|7205100|180|141|
40002|7205102|180|26|
40002|7205104|180|403|
40002|7205106|180|519|
40002|7205108|180|7366|
40002|7205110|180|4705|
40002|7205112|180|870|
40002|7205114|180|541|
40002|7205116|180|770|
40002|7205118|180|457|
40002|7205120|180|4657|
40002|7205122|180|519|
40002|7205124|180|4533|
40002|7205126|180|228|
40002|7205128|180|443|
40002|7205130|180|672|
40002|7205132|180|4774|
40002|7205134|180|519|
40002|7205136|180|4657|
40002|7205138|180|130|
40002|7205140|180|7125|
40002|7205142|180|4577|
40002|7205144|180|66|
40002|7205146|180|625|
40002|7205148|180|519|
40002|7205150|180|672|
40002|7205152|180|985|
40002|7205154|180|519|
40002|7205156|180|7125|
40002|7205158|180|519|
40002|7205160|180|519|
40002|7205162|180|7125|
40002|7205164|180|519|
40002|7205166|180|405|
40002|7205168|180|519|
40002|7205170|180|519|
40002|7205172|180|7125|
40002|7205174|180|6617|
40002|7205176|180|4461|
40002|7205178|180|4427|
40002|7205180|180|4260|
40002|7204973|180|519|
40002|7204975|180|519|
40002|7204977|180|870|
40002|7204979|180|7440|
40002|7204981|180|519|
40002|7204983|180|519|
40002|7204985|180|4615|
40002|7204987|180|519|
40002|7204989|180|519|
40002|7204991|180|519|
40002|7204993|180|519|
40002|7204995|180|519|
40002|7204997|180|130|
40002|7204999|180|351|
40002|7205001|180|4747|
40002|7205003|180|648|
40002|7205005|180|362|
40002|7205007|180|64|
40002|7205009|180|949|
40002|7205011|180|839|
40002|7205013|180|6472|
40002|7205015|180|4371|
40002|7205017|180|504|
40002|7205019|180|672|
40002|7205021|180|160|
40002|7205023|180|4474|
40002|7205025|180|351|
40002|7205027|180|8836|
40002|7205029|180|456|
40002|7205031|180|7139|
40002|7205033|180|8195|
40002|7205035|180|672|
40002|7205037|180|4072|
40002|7205039|180|7139|
40002|7205041|180|203|
40002|7205043|180|672|
40002|7205045|180|519|
40002|7205047|180|995|
40002|7205049|180|519|
40002|7205051|180|4092|
40002|7205053|180|519|
40002|7205055|180|519|
40002|7205057|180|7440|
40002|7205059|180|456|
40002|7205061|180|519|
40002|7205063|180|519|
40002|7205065|180|7440|
40002|7205067|180|7508|
40002|7205069|180|4080|
40002|7205071|180|614|
40002|7205073|180|141|
40002|7205075|180|519|
40002|7205077|180|519|
40002|7205079|180|400|
40002|7205081|180|4346|
40002|7205083|180|519|
40002|7205085|180|4656|
40002|7205087|180|519|
40002|7205089|180|519|
40002|7205091|180|4183|
40002|7205093|180|519|
40002|7205095|180|4274|
40002|7205097|180|46|
40002|7205099|180|519|
40002|7205101|180|7416|
40002|7205103|180|519|
40002|7205105|180|519|
40002|7205107|180|141|
