19080|15092141|4|1|200304|1|200404|12|
19080|15092141|4|2|200304|4|200404|4|
19080|15099970|4|1|200304|1|200404|12|
19080|15099970|4|2|200304|1|200404|12|
19080|15099970|4|3|200304|1|200404|12|
19080|15103524|4|1|200304|1|200404|12|
19080|15104765|4|1|200304|1|200404|12|
19080|15107279|4|1|200304|1|200404|12|
19080|15107279|4|2|200304|1|200404|12|
19080|15108238|2|1|200402|6|200502|6|
19080|15108238|2|2|200402|6|200502|11|
19080|15108238|2|3|200402|11|200502|11|
19080|15108887|4|1|200304|1|200404|12|
19080|15108887|4|2|200304|1|200404|12|
19080|15108960|2|1|200402|1|200502|1|
19080|15108960|2|2|200402|2|200502|2|
19080|15108960|2|3|200402|3|200502|3|
19080|15108960|2|4|200402|3|200502|3|
19080|15108960|2|5|200402|3|200502|11|
19080|15108960|2|6|200402|4|200502|6|
19080|15108960|2|7|200402|5|200502|5|
19080|15108960|2|8|200402|5|200502|10|
19080|15108960|2|9|200402|6|200502|6|
19080|15108960|2|10|200402|6|200502|6|
19080|15108960|2|11|200402|6|200502|7|
19080|15108960|2|12|200402|6|200502|6|
19080|15108960|2|13|200402|6|200502|6|
19080|15108960|2|14|200402|6|200502|6|
19080|15108960|2|15|200402|6|200502|6|
19080|15108960|2|16|200402|7|200502|7|
19080|15108960|2|17|200402|10|200502|12|
19080|15108960|2|18|200402|10|200502|10|
19080|15108959|2|1|200402|3|200502|11|
19080|15108959|2|2|200402|6|200502|12|
19080|15108959|2|3|200402|3|200502|3|
19080|15108959|2|4|200402|8|200502|8|
19080|15108959|2|5|200402|9|200502|9|
19080|15108959|2|6|200402|6|200502|7|
19080|15108959|2|7|200402|8|200502|8|
19080|15108959|2|8|200402|5|200502|11|
19080|15108959|2|9|200402|2|200502|12|
19080|15108959|2|10|200402|2|200502|10|
19080|15108959|2|11|200402|3|200502|11|
19080|15108959|2|12|200402|6|200502|6|
19080|15109501|2|1|200402|3|200502|3|
19080|15110386|4|1|200304|1|200404|12|
19080|15113426|2|1|200402|1|200502|12|
